title	queer?	yes/all	%	tags	url
The Masked Minion 	No	0/1	0.0	"#metaphor,#masked_minion,#gssm,#metaphor,#masked_minion,#gssm,comedy,comedy,romance,lgbtq+,comedy,romance,lgbtq+,"	"https://tapas.io/series/The-Masked-Minion/info"
Brandon & The New Guardians (EN-US) 	YESSSSS	1/2	50.0	"#webcomic,#superhero,#teen,#lgbtq,#sliceoflife,#comingofage,#schooldays,#sims4,#paulocarter,#webcomic,#superhero,#teen,#lgbtq,#sliceoflife,#comingofage,#schooldays,#sims4,#paulocarter,fantasy,fantasy,action,lgbtq+,fantasy,action,lgbtq+,"	"https://tapas.io/series/Brandon--The-New-Guardians-EN-US/info"
Happy Birthday Dad 	No	1/3	33.33333333333333	"#love,#manga,#comic,#drama,#mystery,#dad,#ghost,#fiction,#birthday,#couples,#love,#manga,#comic,#drama,#mystery,#dad,#ghost,#fiction,#birthday,#couples,drama,drama,mystery,drama,mystery,"	"https://tapas.io/series/Happy-Birthday-Dad/info"
New Leaf - One Shot 	No	1/4	25.0	"slice of life,slice of life,slice of life,"	"https://tapas.io/series/New-Leaf---One-Shot/info"
Blood of the Rebellion 	No	1/5	20.0	"#demons,#war,#warriors,#multiverse,#judgement,#justice,#vengeance,#female_protagonist,#young_adult,#mythology_inspired,#demons,#war,#warriors,#multiverse,#judgement,#justice,#vengeance,#female_protagonist,#young_adult,#mythology_inspired,action,action,fantasy,science fiction,action,fantasy,science fiction,"	"https://tapas.io/series/Blood-of-the-Rebellion/info"
Majid 	No	1/6	16.666666666666664	"#action,#manga,#funny,#comedy,#adult,#desert,#arab,#arabian,#action,#manga,#funny,#comedy,#adult,#desert,#arab,#arabian,comedy,comedy,action,comedy,action,"	"https://tapas.io/series/Majid/info"
Oleander 	No	1/7	14.285714285714285	"#mature,#demons,#fairy,#nudity,#nature,#faries,#star_crossed,#fantasy_world,#mature,#demons,#fairy,#nudity,#nature,#faries,#star_crossed,#fantasy_world,fantasy,fantasy,romance,mystery,fantasy,romance,mystery,"	"https://tapas.io/series/Oleander/info"
cyberbolinho 	No	1/8	12.5	"#cute,#fantasy,#funny,#comedy,#kawaii,#dog,#cat,#nonsense,#sliceoflife,#mushroom,#cute,#fantasy,#funny,#comedy,#kawaii,#dog,#cat,#nonsense,#sliceoflife,#mushroom,slice of life,slice of life,comedy,fantasy,slice of life,comedy,fantasy,"	"https://tapas.io/series/cyberbolinho/info"
Moonshine 	YESSSSS	2/9	22.22222222222222	"#vampire,#romance,#comedy,#gothic,#supernatural,#lgbt,#paranormal,#victorian,#vampire,#romance,#comedy,#gothic,#supernatural,#lgbt,#paranormal,#victorian,lgbtq+,lgbtq+,romance,comedy,lgbtq+,romance,comedy,"	"https://tapas.io/series/Moonshine/info"
EYES ON ME 	No	2/10	20.0	"#eomc,#eyesonmecomic,#loonytwin,#eomc,#eyesonmecomic,#loonytwin,romance,romance,romance,"	"https://tapas.io/series/eyesonmecomic/info"
Kickin' Romance (paused) 	YESSSSS	3/11	27.27272727272727	"#romance,#drama,#football,#thriller,#sports,#bl,#heartwarming,#bodyguard,#romance,#drama,#football,#thriller,#sports,#bl,#heartwarming,#bodyguard,bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/Kickin-Romance-paused/info"
Bae On Delivery 	YESSSSS	4/12	33.33333333333333	"#romance,#drama,#comedy,#bl,#lgbtq,#slice_of_life,#cin,#cin_ah,#cinah,#romance,#drama,#comedy,#bl,#lgbtq,#slice_of_life,#cin,#cin_ah,#cinah,bl,bl,romance,slice of life,bl,romance,slice of life,"	"https://tapas.io/series/Bae-On-Delivery/info"
La calaca de Azúcar  	YESSSSS	5/13	38.46153846153847	"#adventure,#fantasy,#supernatural,#italian,#bl,#lgbt,#la,#lgbtq,#de,#aztec,#mexico,#mexican,#boyslove,#cristinakokoro,#lelecat,#deites,#calaca,#azucar,#adventure,#fantasy,#supernatural,#italian,#bl,#lgbt,#la,#lgbtq,#de,#aztec,#mexico,#mexican,#boyslove,#cristinakokoro,#lelecat,#deites,#calaca,#azucar,fantasy,fantasy,bl,lgbtq+,fantasy,bl,lgbtq+,"	"https://tapas.io/series/lacalacadeazucar/info"
Promises of Love 	No	5/14	35.714285714285715	"bl,bl,bl,"	"https://tapas.io/series/Promises-of-Love/info"
The broken bike 	No	5/15	33.33333333333333	"#fantasy,#fight,#bike,#fantasy,#fight,#bike,fantasy,fantasy,action,drama,fantasy,action,drama,"	"https://tapas.io/series/The-broken-bike/info"
Brandon & Os Novos Guardiões (PT-BR) 	YESSSSS	6/16	37.5	"#webcomic,#lgbtqia,#comingofage,#amizade,#vidaescolar,#adolescente,#superheroi,#sims4,#paulocarter,#brandoneosnovosguardioes,#webcomic,#lgbtqia,#comingofage,#amizade,#vidaescolar,#adolescente,#superheroi,#sims4,#paulocarter,#brandoneosnovosguardioes,fantasy,fantasy,action,lgbtq+,fantasy,action,lgbtq+,"	"https://tapas.io/series/BrandonEOsNovosGuardioes/info"
