title	queer?	yes/all	%	tags	url
 Happy Birthday Dad 	No	0/1	0.0	"#love,#manga,#comic,#drama,#mystery,#dad,#ghost,#fiction,#birthday,#couples,#love,#manga,#comic,#drama,#mystery,#dad,#ghost,#fiction,#birthday,#couples,drama,drama,mystery,drama,mystery,"	"https://tapas.io/series/Happy-Birthday-Dad/info"
 Blood of the Rebellion 	No	0/2	0.0	"#demons,#war,#warriors,#multiverse,#judgement,#justice,#vengeance,#female_protagonist,#young_adult,#mythology_inspired,#demons,#war,#warriors,#multiverse,#judgement,#justice,#vengeance,#female_protagonist,#young_adult,#mythology_inspired,action,action,fantasy,science fiction,action,fantasy,science fiction,"	"https://tapas.io/series/Blood-of-the-Rebellion/info"
 Axolove 	No	0/3	0.0	"#comedy,#angel,#demon,#br,#slice_of_life,#comedy,#angel,#demon,#br,#slice_of_life,slice of life,slice of life,drama,comedy,slice of life,drama,comedy,"	"https://tapas.io/series/Axolove/info"
 cyberbolinho 	No	0/4	0.0	"#cute,#fantasy,#funny,#comedy,#kawaii,#dog,#cat,#nonsense,#sliceoflife,#mushroom,#cute,#fantasy,#funny,#comedy,#kawaii,#dog,#cat,#nonsense,#sliceoflife,#mushroom,slice of life,slice of life,comedy,fantasy,slice of life,comedy,fantasy,"	"https://tapas.io/series/cyberbolinho/info"
 RH-030 	No	0/5	0.0	"#mission,#traditional,#furry,#colorpencil,#red_hexagon,#mission,#traditional,#furry,#colorpencil,#red_hexagon,fantasy,fantasy,action,slice of life,fantasy,action,slice of life,"	"https://tapas.io/series/RH-030/info"
 Holding on to Dust 	No	0/6	0.0	"#au,#svtfoe,#star_vs_the_forces_of_evil,#moontoffee,#toffee_of_septarsis,#moon_the_undaunted,#toffeexmoon,#sexual_contant,#au,#svtfoe,#star_vs_the_forces_of_evil,#moontoffee,#toffee_of_septarsis,#moon_the_undaunted,#toffeexmoon,#sexual_contant,romance,romance,fantasy,romance,fantasy,"	"https://tapas.io/series/Holding-on-to-Dust/info"
 Strings of Fate 	YESSSSS	1/7	14.285714285714285	"bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/stringsoffatecomic/info"
 Sweet Boy BL Yaoi 	YESSSSS	2/8	25.0	"#gay,#yaoi,#boyslove,#boylove,#yaoigay,#gay,#yaoi,#boyslove,#boylove,#yaoigay,bl,bl,romance,comedy,bl,romance,comedy,"	"https://tapas.io/series/Sweet-Boy-BL-Yaoi/info"
 The Beginning After the End 	No	2/9	22.22222222222222	"fantasy,
                        , es ,
                    ,fantasy,action,comedy,fantasy,action,comedy,"	"https://tapas.io/series/tbate-comic/info"
 Villainess in Love 	No	2/10	20.0	"romance,romance,fantasy,romance,fantasy,"	"https://tapas.io/series/villainess-in-love/info"
