title	queer?	yes/all	%	tags	url
nusdunda's comics 	No	0/1	0.0	"#drama,#funny,#fight,#weird,#cat,#alien,#gun,#invasion,#drama,#funny,#fight,#weird,#cat,#alien,#gun,#invasion,action,action,drama,action,drama,"	"https://tapas.io/series/nusdundas-comics"
do not fall in love with me 	YESSSSS	1/2	50.0	"lgbtq+,lgbtq+,romance,comedy,lgbtq+,romance,comedy,"	"https://tapas.io/series/do-not-fall-in-love-with-me"
K-Star Squad 	No	1/3	33.33333333333333	"fantasy,fantasy,action,science fiction,fantasy,action,science fiction,"	"https://tapas.io/series/ksd"
I’m not the Villain  	No	1/4	25.0	"#comic,#romance,#comedy,#villain,#femalelead,#webtoon_,#parody_,#reincarnation_,#beginner_,#villainess_,#comic,#romance,#comedy,#villain,#femalelead,#webtoon_,#parody_,#reincarnation_,#beginner_,#villainess_,romance,romance,comedy,fantasy,romance,comedy,fantasy,"	"https://tapas.io/series/Im-not-the-Villain-"
Divergent Fist 	YESSSSS	2/5	40.0	"#action,#drama,#comedy,#bl,#jujutsu_kaisen,#inumaki,#okkotsu,#action,#drama,#comedy,#bl,#jujutsu_kaisen,#inumaki,#okkotsu,action,action,bl,drama,action,bl,drama,"	"https://tapas.io/series/Divergent-Fist"
Starship Fluke 	No	2/6	33.33333333333333	"#space,#scifi,#trek,#starship,#fluke,#space,#scifi,#trek,#starship,#fluke,comedy,comedy,slice of life,science fiction,comedy,slice of life,science fiction,"	"https://tapas.io/series/StarshipFluke"
The Normal Life of Joey Grenade 	No	2/7	28.57142857142857	"slice of life,slice of life,action,comedy,slice of life,action,comedy,"	"https://tapas.io/series/The-Normal-Life-of-Joey-Grenade"
The Prince &amp; His Knight 	YESSSSS	3/8	37.5	"#knight,#prince,#slowburn,#knight,#prince,#slowburn,bl,bl,romance,fantasy,bl,romance,fantasy,"	"https://tapas.io/series/The-Prince-and-His-Knight"
Faceless 	No	3/9	33.33333333333333	"action,action,horror,fantasy,action,horror,fantasy,"	"https://tapas.io/series/Faceless"
Daily ToonZs 	No	3/10	30.0	"slice of life,slice of life,comedy,slice of life,comedy,"	"https://tapas.io/series/Daily-ToonZs"
My Silly Kitty 	No	3/11	27.27272727272727	"#love,#cute,#soft,#comedy,#parody,#animals,#cats,#meme,#pets,#love,#cute,#soft,#comedy,#parody,#animals,#cats,#meme,#pets,comedy,comedy,slice of life,comedy,slice of life,"	"https://tapas.io/series/My-Silly-Kitty"
Unkn1wn 	YESSSSS	4/12	33.33333333333333	"#fantasy,#romance,#color,#random,#boy,#bl,#yolo,#sliceoflife,#feelgood,#fantasy,#romance,#color,#random,#boy,#bl,#yolo,#sliceoflife,#feelgood,bl,bl,romance,fantasy,bl,romance,fantasy,"	"https://tapas.io/series/Unkn1wn"
Hantu Bucin (Ghost Love) 	No	4/13	30.76923076923077	"drama,drama,comedy,drama,comedy,"	"https://tapas.io/series/Hantu-Bucin-Ghost-Love"
Spade 	No	4/14	28.57142857142857	"#mystery,#crime,#thriller,#killer,#detective,#conan,#mystery,#crime,#thriller,#killer,#detective,#conan,mystery,mystery,mystery,"	"https://tapas.io/series/Spade"
One More Detective 	No	4/15	26.666666666666668	"#mystery,#crime,#strange,#old,#detective,#sherlock,#poirot,#lupin,#black_and_white,#old_school,#mystery,#crime,#strange,#old,#detective,#sherlock,#poirot,#lupin,#black_and_white,#old_school,mystery,mystery,mystery,"	"https://tapas.io/series/One-More-Detective"
Moral 	No	4/16	25.0	"#comic,#comic,drama,drama,horror,mystery,drama,horror,mystery,"	"https://tapas.io/series/Moral"
Sister Mary’s W.A.P. 	No	4/17	23.52941176470588	"#cool,#manga,#comedy,#new,#meme,#viral,#action_manga,#sistermarywap,#cool,#manga,#comedy,#new,#meme,#viral,#action_manga,#sistermarywap,comedy,comedy,horror,action,comedy,horror,action,"	"https://tapas.io/series/SisterMarysWAP"
Takoyaki Hero 	No	4/18	22.22222222222222	"fantasy,fantasy,action,slice of life,fantasy,action,slice of life,"	"https://tapas.io/series/Takoyaki-Hero"
Beyond My Soul 	YESSSSS	5/19	26.31578947368421	"#cute,#adventure,#funny,#demon,#supernatural,#warm,#cute,#adventure,#funny,#demon,#supernatural,#warm,bl,bl,comedy,fantasy,bl,comedy,fantasy,"	"https://tapas.io/series/Beyond-My-Soul"
Rise of powers  	No	5/20	25.0	"#action,#powers,#slice_of_life,#for_all_ages,#rise_of_powers_,#fantasy_ish,#action,#powers,#slice_of_life,#for_all_ages,#rise_of_powers_,#fantasy_ish,action,action,slice of life,fantasy,action,slice of life,fantasy,"	"https://tapas.io/series/Rise-of-powers-"
The Last Rope 	YESSSSS	6/21	28.57142857142857	"bl,bl,romance,drama,bl,romance,drama,"	"https://tapas.io/series/The-Last-Rope"
The Demon wants to open a Potion Shop 	No	6/22	27.27272727272727	"#demon,#isekai,#demon,#isekai,fantasy,fantasy,romance,action,fantasy,romance,action,"	"https://tapas.io/series/The-Demon-wants-to-open-a-Potion-Shop"
The Fright Wolf  	No	6/23	26.08695652173913	"#fantasy,#romance,#psychological,#mystery,#thriller,#webtoon,#angsty,#fantasy,#romance,#psychological,#mystery,#thriller,#webtoon,#angsty,fantasy,fantasy,romance,mystery,fantasy,romance,mystery,"	"https://tapas.io/series/The-Fright-Wolf-"
Fox Hollow Manor 	YESSSSS	7/24	29.166666666666668	"#mystery,#bl,#kitsune,#oni,#yokai,#murder_mystery,#mystery,#bl,#kitsune,#oni,#yokai,#murder_mystery,mystery,mystery,bl,drama,mystery,bl,drama,"	"https://tapas.io/series/Fox-Hollow-Manor"
Holding on to Dust 	No	7/25	28.000000000000004	"#au,#svtfoe,#star_vs_the_forces_of_evil,#moontoffee,#toffee_of_septarsis,#moon_the_undaunted,#toffeexmoon,#sexual_contant,#au,#svtfoe,#star_vs_the_forces_of_evil,#moontoffee,#toffee_of_septarsis,#moon_the_undaunted,#toffeexmoon,#sexual_contant,romance,romance,fantasy,romance,fantasy,"	"https://tapas.io/series/Holding-on-to-Dust"
RH-030 	No	7/26	26.923076923076923	"#mission,#traditional,#furry,#colorpencil,#red_hexagon,#mission,#traditional,#furry,#colorpencil,#red_hexagon,fantasy,fantasy,action,slice of life,fantasy,action,slice of life,"	"https://tapas.io/series/RH-030"
Weekend Warriors 	No	7/27	25.925925925925924	"slice of life,slice of life,gaming,comedy,slice of life,gaming,comedy,"	"https://tapas.io/series/Weekend-Warriors"
cyberbolinho 	No	7/28	25.0	"#cute,#fantasy,#funny,#comedy,#kawaii,#dog,#cat,#nonsense,#sliceoflife,#mushroom,#cute,#fantasy,#funny,#comedy,#kawaii,#dog,#cat,#nonsense,#sliceoflife,#mushroom,slice of life,slice of life,comedy,fantasy,slice of life,comedy,fantasy,"	"https://tapas.io/series/cyberbolinho"
