title	queer?	yes/all	%	tags	url
title	queer?	yes/all	%	tags	url
title	queer?	yes/all	%	tags	url
Faceless 	No	0/1	0.0	",action,horror,fantasy,,,,"	"https://tapas.io/series/Faceless"
Daily ToonZs 	No	0/2	0.0	",slice of life,comedy,,,"	"https://tapas.io/series/Daily-ToonZs"
My Silly Kitty 	No	0/3	0.0	"#love,#cute,#soft,#comedy,#parody,#animals,#cats,#meme,#pets,#love,#cute,#soft,#comedy,#parody,#animals,#cats,#meme,#pets,,comedy,slice of life,,,"	"https://tapas.io/series/My-Silly-Kitty"
Unkn1wn 	YESSSSS	1/4	25.0	"#fantasy,#romance,#color,#random,#boy,#bl,#yolo,#sliceoflife,#feelgood,#fantasy,#romance,#color,#random,#boy,#bl,#yolo,#sliceoflife,#feelgood,,bl,romance,fantasy,,,,"	"https://tapas.io/series/Unkn1wn"
Hantu Bucin (Ghost Love) 	No	1/5	20.0	",drama,comedy,,,"	"https://tapas.io/series/Hantu-Bucin-Ghost-Love"
One More Detective 	YESSSSS	2/6	33.33333333333333	"#mystery,#crime,#strange,#old,#detective,#sherlock,#poirot,#lupin,#black_and_white,#old_school,#mystery,#crime,#strange,#old,#detective,#sherlock,#poirot,#lupin,#black_and_white,#old_school,,mystery,,"	"https://tapas.io/series/One-More-Detective"
Moral 	No	2/7	28.57142857142857	"#comic,#comic,,drama,horror,mystery,,,,"	"https://tapas.io/series/Moral"
Sister Mary’s W.A.P. 	No	2/8	25.0	"#cool,#manga,#comedy,#new,#meme,#viral,#action_manga,#sistermarywap,#cool,#manga,#comedy,#new,#meme,#viral,#action_manga,#sistermarywap,,comedy,horror,action,,,,"	"https://tapas.io/series/SisterMarysWAP"
Beyond My Soul 	YESSSSS	3/9	33.33333333333333	"#cute,#adventure,#funny,#demon,#supernatural,#warm,#cute,#adventure,#funny,#demon,#supernatural,#warm,,bl,comedy,fantasy,,,,"	"https://tapas.io/series/Beyond-My-Soul"
